method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score
llm_prompt_low,evaluation/outputs/luke3/1.5b/llm_prompt_low/scores_target_llama.json,14,7,7,1.0,7,7,1.0,7,0.5832598663304064,7,0,0,0,1.0
nllb-200-distilled-600M,evaluation/outputs/luke3/1.5b/nllb-200-distilled-600M/scores_target_llama.json,14,7,6,0.8571428571428571,7,7,1.0,7,0.580849197116369,7,0,0,0,0.9285714285714286
nllb-200-1.3B,evaluation/outputs/luke3/1.5b/nllb-200-1.3B/scores_target_llama.json,14,7,7,1.0,7,7,0.8571428571428571,7,0.5671890747685112,6,0,1,0,0.9285714285714286
llm_prompt_medium,evaluation/outputs/luke3/1.5b/llm_prompt_medium/scores_target_llama.json,14,7,7,1.0,7,7,0.8571428571428571,7,0.6934501919573001,6,0,1,0,0.9285714285714286
llm_prompt_high,evaluation/outputs/luke3/1.5b/llm_prompt_high/scores_target_llama.json,14,7,7,1.0,7,7,0.7142857142857143,7,0.6529687788508062,5,0,2,0,0.8571428571428571
helsinki,evaluation/outputs/luke3/1.5b/helsinki/scores_target_llama.json,14,7,6,0.8571428571428571,7,7,0.7142857142857143,7,0.5437661531284198,5,0,2,0,0.7857142857142857
google_word_by_word,evaluation/outputs/luke3/1.5b/google_word_by_word/scores_target_llama.json,14,7,7,1.0,7,7,0.5714285714285714,7,0.5504749393673134,4,0,3,0,0.7857142857142857
mBART-50,evaluation/outputs/luke3/1.5b/mBART-50/scores_target_llama.json,14,7,6,0.8571428571428571,7,7,0.5714285714285714,7,0.5224937559198481,4,0,3,0,0.7142857142857143
