method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score
llm_prompt_high,evaluation/outputs/luke7/1.5b/llm_prompt_high/scores_target_llama.json,18,9,4,0.4444444444444444,9,9,0.8888888888888888,9,0.5815707174239096,8,0,1,0,0.6666666666666666
llm_prompt_medium,evaluation/outputs/luke7/1.5b/llm_prompt_medium/scores_target_llama.json,18,9,5,0.5555555555555556,9,9,0.6666666666666666,9,0.47352298555751166,6,0,3,0,0.6111111111111112
llm_prompt_low,evaluation/outputs/luke7/1.5b/llm_prompt_low/scores_target_llama.json,18,9,3,0.3333333333333333,9,9,0.8888888888888888,9,0.5773656797695158,8,0,1,0,0.6111111111111112
helsinki,evaluation/outputs/luke7/1.5b/helsinki/scores_target_llama.json,18,9,3,0.3333333333333333,9,9,0.8888888888888888,9,0.6083958021872573,8,0,1,0,0.6111111111111112
nllb-200-distilled-600M,evaluation/outputs/luke7/1.5b/nllb-200-distilled-600M/scores_target_llama.json,18,9,3,0.3333333333333333,9,9,0.5555555555555556,9,0.4659438490423068,5,0,4,0,0.4444444444444444
nllb-200-1.3B,evaluation/outputs/luke7/1.5b/nllb-200-1.3B/scores_target_llama.json,18,9,2,0.2222222222222222,9,9,0.6666666666666666,9,0.34599816110292564,6,0,3,0,0.4444444444444444
mBART-50,evaluation/outputs/luke7/1.5b/mBART-50/scores_target_llama.json,18,9,3,0.3333333333333333,9,9,0.5555555555555556,9,0.515326307904819,5,0,4,0,0.4444444444444444
google_word_by_word,evaluation/outputs/luke7/1.5b/google_word_by_word/scores_target_llama.json,18,9,3,0.3333333333333333,9,9,0.1111111111111111,9,0.3903625226352946,1,0,8,0,0.2222222222222222
