model,omission/0%,omission/15%,omission/30%,mistranslation/15%,mistranslation/30%,grammar/30%,google_word_by_word
1.7b,0.979,0.862,0.798,0.872,0.777,0.936,0.830
1.5b,0.979,0.926,0.894,0.883,0.798,0.968,0.904
llama 1b,0.872,0.809,0.713,0.755,0.702,0.862,0.745
