model,q_type,omission/0%,omission/15%,omission/30%,mistranslation/15%,mistranslation/30%,grammar/30%,google_word_by_word
1.7b,mcq,0.979,0.862,0.798,0.872,0.777,0.936,0.830
1.7b,open,0.882,0.742,0.618,0.753,0.548,0.839,0.720
1.5b,mcq,0.979,0.926,0.894,0.883,0.798,0.968,0.904
1.5b,open,0.892,0.715,0.672,0.763,0.624,0.817,0.694
llama 1b,mcq,0.872,0.809,0.713,0.755,0.702,0.862,0.745
llama 1b,open,0.661,0.522,0.489,0.559,0.500,0.656,0.522
