chapter,method,source_words,mqm_penalty_per_1000,mqm_quality_0_1,accuracy_omission_count_rate,accuracy_omission_penalty_rate,accuracy_mistranslation_count_rate,accuracy_mistranslation_penalty_rate,accuracy_addition_count_rate,accuracy_addition_penalty_rate,fluency_grammar_count_rate,fluency_grammar_penalty_rate,terminology_count_rate,terminology_penalty_rate,untranslated_non_translation_count_rate,untranslated_non_translation_penalty_rate,other_count_rate,other_penalty_rate,B_count,B_penalty,B_count_untr0,B_penalty_untr0
4,helsinki,1003.0,64.80558325024926,0.015196278957017105,3.988,19.9402,7.9761,39.8804,0.0,0.0,4.985,4.985,0.0,0.0,0.0,0.0,0.0,0.0,6.3832,29.3416,6.3832,29.3416
4,llm_prompt_high,1049.0,10.486177311725452,0.08706116690181759,2.8599,10.4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2549,4.6015,1.2549,4.6015
4,llm_prompt_low,1049.0,14.299332697807436,0.06536232787089538,2.8599,2.8599,2.8599,10.4862,0.0,0.0,0.9533,0.9533,0.0,0.0,0.0,0.0,0.0,0.0,2.8085,6.6232,2.8085,6.6232
4,llm_prompt_medium,1049.0,8.579599618684462,0.10438849636779779,2.8599,6.673,0.9533,0.9533,0.0,0.0,0.0,0.0,0.9533,0.9533,0.0,0.0,0.0,0.0,1.6443,3.3176,1.6443,3.3176
4,mBART-50,1003.0,45.86241276171486,0.02133906346403421,4.985,16.9492,2.991,14.9551,0.0,0.0,3.988,3.988,7.9761,7.9761,0.0,0.0,1.994,1.994,3.4667,14.7011,3.4667,14.7011
4,nllb-200-1.3B,1003.0,63.80857427716849,0.015430057074288881,9.9701,37.8863,3.988,19.9402,0.997,0.997,4.985,4.985,0.0,0.0,0.0,0.0,0.0,0.0,7.1707,27.3999,7.1707,27.3999
4,nllb-200-distilled-600M,1003.0,69.79062811565304,0.014126163683224653,8.9731,44.8654,5.9821,21.9342,0.0,0.0,2.991,2.991,0.0,0.0,0.0,0.0,0.0,0.0,7.3159,31.0451,7.3159,31.0451
5,google_word_by_word,1003.0,120.63808574277168,0.00822110931698401,0.997,4.985,2.991,14.9551,0.0,0.0,27.9163,99.7009,0.997,0.997,0.0,0.0,0.0,0.0,5.4465,22.4493,5.4465,22.4493
5,helsinki,963.0,148.49428868120458,0.006689218757597438,6.2305,26.999,17.6532,113.188,0.0,0.0,5.1921,5.1921,3.1153,3.1153,0.0,0.0,0.0,0.0,11.9486,68.8482,11.9486,68.8482
5,llm_prompt_high,1003.0,5.982053838484546,0.14322433242895902,0.997,4.985,0.997,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9362,2.6862,0.9362,2.6862
5,llm_prompt_low,1003.0,20.937188434695912,0.04558469299640958,3.988,11.9641,6.9791,6.9791,0.0,0.0,1.994,1.994,0.0,0.0,0.0,0.0,0.0,0.0,5.4984,8.9984,5.4984,8.9984
5,llm_prompt_medium,1003.0,5.982053838484546,0.14322433242895902,0.997,4.985,0.997,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9362,2.6862,0.9362,2.6862
5,mBART-50,963.0,51.92107995846314,0.01889606184879226,3.1153,11.4226,9.3458,38.4216,0.0,0.0,1.0384,1.0384,1.0384,1.0384,0.0,0.0,0.0,0.0,6.0805,24.2695,6.0805,24.2695
5,nllb-200-1.3B,963.0,46.72897196261682,0.020951635010769534,14.5379,43.6137,1.0384,1.0384,0.0,0.0,2.0768,2.0768,0.0,0.0,0.0,0.0,0.0,0.0,7.167,19.9258,7.167,19.9258
5,nllb-200-distilled-600M,963.0,78.92004153686396,0.012512506009381133,10.3842,51.9211,4.1537,16.6147,0.0,0.0,4.1537,4.1537,2.0768,6.2305,0.0,0.0,0.0,0.0,6.9801,31.0589,6.9801,31.0589
6,google_word_by_word,1230.0,82.92682926829269,0.011915140947399011,1.626,8.1301,7.3171,23.5772,0.0,0.0,10.5691,46.3415,1.626,4.878,0.0,0.0,0.0,0.0,5.5889,20.8966,5.5889,20.8966
6,helsinki,1206.0,90.38142620232173,0.010943142841587572,2.4876,12.4378,12.4378,52.2388,0.8292,4.1459,5.8043,15.7546,2.4876,5.8043,0.0,0.0,0.0,0.0,7.9649,33.7429,7.9649,33.7429
6,llm_prompt_high,1230.0,25.203252032520325,0.038163201985727584,4.878,17.8862,3.252,3.252,1.626,1.626,0.813,0.813,1.626,1.626,0.0,0.0,0.0,0.0,3.9794,9.6875,3.9794,9.6875
6,llm_prompt_low,1230.0,21.95121951219512,0.04357066950053135,3.252,16.2602,0.813,4.065,0.0,0.0,0.813,0.813,0.813,0.813,0.0,0.0,0.0,0.0,1.8641,9.1988,1.8641,9.1988
6,llm_prompt_medium,1230.0,39.02439024390244,0.024984765386959172,4.878,34.1463,0.0,0.0,0.0,0.0,0.0,0.0,1.626,4.878,0.0,0.0,0.0,0.0,1.9914,14.5363,1.9914,14.5363
6,mBART-50,1206.0,87.893864013267,0.01124937037106132,5.8043,29.0216,7.4627,33.9967,0.0,0.0,4.9751,14.9254,1.6584,1.6584,0.0,0.0,1.6584,8.2919,6.77,31.5149,6.77,31.5149
6,nllb-200-1.3B,1206.0,40.6301824212272,0.02402103334262837,4.1459,10.7794,4.1459,14.0962,0.0,0.0,1.6584,4.9751,4.1459,10.7794,0.0,0.0,0.0,0.0,3.7268,11.4343,3.7268,11.4343
6,nllb-200-distilled-600M,1206.0,73.79767827529021,0.013369398931334946,15.7546,42.2886,4.9751,11.6086,0.0,0.0,9.1211,15.7546,0.8292,4.1459,0.0,0.0,0.0,0.0,10.5034,26.0171,10.5034,26.0171
7,google_word_by_word,1266.0,98.73617693522907,0.010026452093200069,0.0,0.0,2.3697,11.8483,0.0,0.0,20.5371,86.8878,0.0,0.0,0.0,0.0,0.0,0.0,3.8369,17.1449,3.8369,17.1449
7,helsinki,1220.0,85.24590163934425,0.011594753849078123,4.0984,13.9344,13.1148,49.1803,0.0,0.0,6.5574,13.1148,2.459,9.0164,0.0,0.0,0.0,0.0,8.9794,31.5804,8.9794,31.5804
7,llm_prompt_high,1266.0,3.9494470774091623,0.2020427705075008,0.0,0.0,0.7899,3.9494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3951,1.9755,0.3951,1.9755
7,llm_prompt_low,1266.0,14.218009478672984,0.06571161631890378,1.5798,7.8989,2.3697,5.5292,0.0,0.0,0.0,0.0,0.7899,0.7899,0.0,0.0,0.0,0.0,1.8061,6.1594,1.8061,6.1594
7,llm_prompt_medium,1266.0,14.218009478672984,0.06571161631890378,3.9494,13.4281,0.7899,0.7899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1282,6.2875,2.1282,6.2875
7,mBART-50,1220.0,90.16393442622952,0.010969250134867829,5.7377,18.8525,5.7377,28.6885,0.0,0.0,4.918,11.4754,6.5574,29.5082,1.6393,1.6393,0.0,0.0,6.1405,22.1162,5.4211,21.3968
7,nllb-200-1.3B,1220.0,69.67213114754098,0.014149849222918117,1.6393,4.918,13.1148,49.1803,0.8197,4.0984,3.2787,9.8361,1.6393,1.6393,0.0,0.0,0.0,0.0,7.6815,28.5238,7.6815,28.5238
7,nllb-200-distilled-600M,1220.0,49.18032786885246,0.0199281280627246,8.1967,14.7541,5.7377,25.4098,0.0,0.0,4.918,8.1967,0.8197,0.8197,0.0,0.0,0.0,0.0,7.0266,20.1673,7.0266,20.1673
8,google_word_by_word,1470.0,114.28571428571428,0.008674101610904586,0.0,0.0,7.483,29.2517,0.0,0.0,25.1701,85.034,0.0,0.0,0.0,0.0,0.0,0.0,6.9928,25.6107,6.9928,25.6107
8,helsinki,1425.0,81.40350877192982,0.01213540557802853,3.5088,14.7368,12.6316,49.1228,0.0,0.0,4.2105,9.8246,4.9123,7.7193,0.0,0.0,0.0,0.0,7.9509,31.598,7.9509,31.598
8,llm_prompt_high,1470.0,5.442176870748299,0.15522703273495247,0.0,0.0,2.0408,4.7619,0.0,0.0,0.6803,0.6803,0.0,0.0,0.0,0.0,0.0,0.0,1.1086,2.4697,1.1086,2.4697
8,llm_prompt_low,1470.0,25.170068027210885,0.038211593449441125,3.4014,14.2857,2.0408,7.483,0.0,0.0,3.4014,3.4014,0.0,0.0,0.0,0.0,0.0,0.0,2.9525,10.4509,2.9525,10.4509
8,llm_prompt_medium,1470.0,14.285714285714285,0.06542056074766356,1.3605,4.0816,5.4422,5.4422,0.0,0.0,0.0,0.0,2.0408,4.7619,0.0,0.0,0.0,0.0,3.1319,4.0763,3.1319,4.0763
8,mBART-50,1425.0,45.6140350877193,0.021452766277756868,4.2105,7.0175,7.0175,32.2807,0.0,0.0,2.1053,2.1053,2.1053,2.1053,0.0,0.0,2.1053,2.1053,5.4364,19.3047,5.4364,19.3047
8,nllb-200-1.3B,1425.0,44.21052631578947,0.02211874272409779,3.5088,14.7368,4.2105,15.4386,0.7018,0.7018,2.807,2.807,4.2105,7.0175,0.7018,3.5088,0.0,0.0,4.0405,15.5579,3.7326,14.0183
8,nllb-200-distilled-600M,1425.0,49.824561403508774,0.019675526406627546,0.7018,0.7018,6.3158,31.5789,0.0,0.0,6.3158,11.9298,2.807,5.614,0.0,0.0,0.0,0.0,4.025,17.1288,4.025,17.1288
