ability_model_a,ability_model_b,method_count,spearman_rho,same_rank_count,same_rank_fraction,order_a,order_b
1.5b,1.7b,5,0.5999999999999999,0,0.0,llm_prompt_low > llm_prompt_high > nllb-200-1.3B > google_word_by_word > mBART-50,llm_prompt_high > nllb-200-1.3B > llm_prompt_low > mBART-50 > google_word_by_word
1.5b,llama 1b,5,0.15389675281277312,0,0.0,llm_prompt_low > llm_prompt_high > nllb-200-1.3B > google_word_by_word > mBART-50,llm_prompt_high=nllb-200-1.3B > mBART-50 > llm_prompt_low > google_word_by_word
1.7b,llama 1b,5,0.872081599272381,3,0.6,llm_prompt_high > nllb-200-1.3B > llm_prompt_low > mBART-50 > google_word_by_word,llm_prompt_high=nllb-200-1.3B > mBART-50 > llm_prompt_low > google_word_by_word
