ability_model,rank_order,rank_google_word_by_word,rank_llm_prompt_high,rank_llm_prompt_low,rank_mBART-50,rank_nllb-200-1.3B
1.5b,llm_prompt_low > llm_prompt_high > nllb-200-1.3B > google_word_by_word > mBART-50,4,2,1,5,3
1.7b,llm_prompt_high > nllb-200-1.3B > llm_prompt_low > mBART-50 > google_word_by_word,5,1,3,4,2
llama 1b,llm_prompt_high=nllb-200-1.3B > mBART-50 > llm_prompt_low > google_word_by_word,5,1,4,3,2
