chapter,method,model,item_count,scored_count,combined_mean,mcq_count,mcq_accuracy,open_count,open_llm_mean
1,google_word_by_word,1.5b,44,44,0.75,22,0.9090909090909091,22,0.5909090909090909
1,google_word_by_word,1.7b,44,44,0.7954545454545454,22,0.9090909090909091,22,0.6818181818181818
1,google_word_by_word,llama 1b,44,44,0.4090909090909091,22,0.36363636363636365,22,0.45454545454545453
1,llm_prompt_high,1.5b,44,44,0.9090909090909091,22,0.9090909090909091,22,0.9090909090909091
1,llm_prompt_high,1.7b,44,44,0.9318181818181818,22,0.9545454545454546,22,0.9090909090909091
1,llm_prompt_high,llama 1b,44,44,0.6136363636363636,22,0.6818181818181818,22,0.5454545454545454
1,llm_prompt_low,1.5b,44,44,0.9772727272727273,22,1.0,22,0.9545454545454546
1,llm_prompt_low,1.7b,44,44,0.8863636363636364,22,0.9090909090909091,22,0.8636363636363636
1,llm_prompt_low,llama 1b,44,44,0.4318181818181818,22,0.36363636363636365,22,0.5
1,mBART-50,1.5b,44,44,0.6136363636363636,22,0.7727272727272727,22,0.45454545454545453
1,mBART-50,1.7b,44,44,0.8181818181818182,22,0.8636363636363636,22,0.7727272727272727
1,mBART-50,llama 1b,44,44,0.38636363636363635,22,0.36363636363636365,22,0.4090909090909091
1,nllb-200-1.3B,1.5b,44,44,0.7045454545454546,22,0.8181818181818182,22,0.5909090909090909
1,nllb-200-1.3B,1.7b,44,44,0.8636363636363636,22,0.9545454545454546,22,0.7727272727272727
1,nllb-200-1.3B,llama 1b,44,44,0.5909090909090909,22,0.7272727272727273,22,0.45454545454545453
2,google_word_by_word,1.5b,24,24,0.5833333333333334,12,0.75,12,0.4166666666666667
2,google_word_by_word,1.7b,24,24,0.625,12,0.8333333333333334,12,0.4166666666666667
2,google_word_by_word,llama 1b,24,24,0.3333333333333333,12,0.4166666666666667,12,0.25
2,llm_prompt_high,1.5b,24,24,0.7083333333333334,12,0.8333333333333334,12,0.5833333333333334
2,llm_prompt_high,1.7b,24,24,0.7916666666666666,12,0.9166666666666666,12,0.6666666666666666
2,llm_prompt_high,llama 1b,24,24,0.625,12,0.8333333333333334,12,0.4166666666666667
2,llm_prompt_low,1.5b,24,24,0.7083333333333334,12,0.8333333333333334,12,0.5833333333333334
2,llm_prompt_low,1.7b,24,24,0.7083333333333334,12,0.75,12,0.6666666666666666
2,llm_prompt_low,llama 1b,24,24,0.375,12,0.3333333333333333,12,0.4166666666666667
2,mBART-50,1.5b,24,24,0.625,12,0.5833333333333334,12,0.6666666666666666
2,mBART-50,1.7b,24,24,0.7916666666666666,12,0.9166666666666666,12,0.6666666666666666
2,mBART-50,llama 1b,24,24,0.4583333333333333,12,0.3333333333333333,12,0.5833333333333334
2,nllb-200-1.3B,1.5b,24,24,0.625,12,0.75,12,0.5
2,nllb-200-1.3B,1.7b,24,24,0.875,12,0.9166666666666666,12,0.8333333333333334
2,nllb-200-1.3B,llama 1b,24,24,0.4583333333333333,12,0.5833333333333334,12,0.3333333333333333
3,google_word_by_word,1.5b,14,14,0.7857142857142857,7,1.0,7,0.5714285714285714
3,google_word_by_word,1.7b,14,14,0.7857142857142857,7,1.0,7,0.5714285714285714
3,google_word_by_word,llama 1b,14,14,0.2857142857142857,7,0.2857142857142857,7,0.2857142857142857
3,llm_prompt_high,1.5b,14,14,0.8571428571428571,7,1.0,7,0.7142857142857143
3,llm_prompt_high,1.7b,14,14,1.0,7,1.0,7,1.0
3,llm_prompt_high,llama 1b,14,14,0.5,7,0.7142857142857143,7,0.2857142857142857
3,llm_prompt_low,1.5b,14,14,0.9285714285714286,7,1.0,7,0.8571428571428571
3,llm_prompt_low,1.7b,14,14,0.9285714285714286,7,1.0,7,0.8571428571428571
3,llm_prompt_low,llama 1b,14,14,0.35714285714285715,7,0.5714285714285714,7,0.14285714285714285
3,mBART-50,1.5b,14,14,0.7857142857142857,7,1.0,7,0.5714285714285714
3,mBART-50,1.7b,14,14,0.7857142857142857,7,1.0,7,0.5714285714285714
3,mBART-50,llama 1b,14,14,0.42857142857142855,7,0.2857142857142857,7,0.5714285714285714
3,nllb-200-1.3B,1.5b,14,14,0.8571428571428571,7,1.0,7,0.7142857142857143
3,nllb-200-1.3B,1.7b,14,14,0.8571428571428571,7,0.8571428571428571,7,0.8571428571428571
3,nllb-200-1.3B,llama 1b,14,14,0.6428571428571429,7,0.5714285714285714,7,0.7142857142857143
4,google_word_by_word,1.5b,44,44,0.7272727272727273,22,0.8636363636363636,22,0.5909090909090909
4,google_word_by_word,1.7b,44,44,0.6363636363636364,22,0.6818181818181818,22,0.5909090909090909
4,google_word_by_word,llama 1b,44,44,0.25,22,0.22727272727272727,22,0.2727272727272727
4,llm_prompt_high,1.5b,44,44,0.75,22,0.8636363636363636,22,0.6363636363636364
4,llm_prompt_high,1.7b,44,44,0.7954545454545454,22,0.7727272727272727,22,0.8181818181818182
4,llm_prompt_high,llama 1b,44,44,0.6136363636363636,22,0.6818181818181818,22,0.5454545454545454
4,llm_prompt_low,1.5b,44,44,0.8181818181818182,22,0.9090909090909091,22,0.7272727272727273
4,llm_prompt_low,1.7b,44,44,0.75,22,0.8636363636363636,22,0.6363636363636364
4,llm_prompt_low,llama 1b,44,44,0.25,22,0.2727272727272727,22,0.22727272727272727
4,mBART-50,1.5b,44,44,0.6590909090909091,22,0.7727272727272727,22,0.5454545454545454
4,mBART-50,1.7b,44,44,0.7045454545454546,22,0.7727272727272727,22,0.6363636363636364
4,mBART-50,llama 1b,44,44,0.4090909090909091,22,0.36363636363636365,22,0.45454545454545453
4,nllb-200-1.3B,1.5b,44,44,0.6136363636363636,22,0.7727272727272727,22,0.45454545454545453
4,nllb-200-1.3B,1.7b,44,44,0.7045454545454546,22,0.8636363636363636,22,0.5454545454545454
4,nllb-200-1.3B,llama 1b,44,44,0.6363636363636364,22,0.7272727272727273,22,0.5454545454545454
5,google_word_by_word,1.5b,26,26,0.6923076923076923,13,0.8461538461538461,13,0.5384615384615384
5,google_word_by_word,1.7b,26,26,0.6153846153846154,13,0.7692307692307693,13,0.46153846153846156
5,google_word_by_word,llama 1b,26,26,0.23076923076923078,13,0.07692307692307693,13,0.38461538461538464
5,llm_prompt_high,1.5b,26,26,0.8461538461538461,13,0.9230769230769231,13,0.7692307692307693
5,llm_prompt_high,1.7b,26,26,0.8076923076923077,13,0.9230769230769231,13,0.6923076923076923
5,llm_prompt_high,llama 1b,26,26,0.5384615384615384,13,0.6923076923076923,13,0.38461538461538464
5,llm_prompt_low,1.5b,26,26,0.8846153846153846,13,0.9230769230769231,13,0.8461538461538461
5,llm_prompt_low,1.7b,26,26,0.6153846153846154,13,0.6923076923076923,13,0.5384615384615384
5,llm_prompt_low,llama 1b,26,26,0.23076923076923078,13,0.07692307692307693,13,0.38461538461538464
5,mBART-50,1.5b,26,26,0.6923076923076923,13,0.6923076923076923,13,0.6923076923076923
5,mBART-50,1.7b,26,26,0.7692307692307693,13,0.8461538461538461,13,0.6923076923076923
5,mBART-50,llama 1b,26,26,0.15384615384615385,13,0.15384615384615385,13,0.15384615384615385
5,nllb-200-1.3B,1.5b,26,26,0.8076923076923077,13,0.8461538461538461,13,0.7692307692307693
5,nllb-200-1.3B,1.7b,26,26,0.9230769230769231,13,1.0,13,0.8461538461538461
5,nllb-200-1.3B,llama 1b,26,26,0.5769230769230769,13,0.5384615384615384,13,0.6153846153846154
6,google_word_by_word,1.5b,16,16,0.75,8,1.0,8,0.5
6,google_word_by_word,1.7b,16,16,0.875,8,1.0,8,0.75
6,google_word_by_word,llama 1b,16,16,0.25,8,0.25,8,0.25
6,llm_prompt_high,1.5b,16,16,0.9375,8,1.0,8,0.875
6,llm_prompt_high,1.7b,16,16,0.875,8,1.0,8,0.75
6,llm_prompt_high,llama 1b,16,16,0.5625,8,0.75,8,0.375
6,llm_prompt_low,1.5b,16,16,0.75,8,0.875,8,0.625
6,llm_prompt_low,1.7b,16,16,0.9375,8,1.0,8,0.875
6,llm_prompt_low,llama 1b,16,16,0.375,8,0.375,8,0.375
6,mBART-50,1.5b,16,16,0.8125,8,0.875,8,0.75
6,mBART-50,1.7b,16,16,0.75,8,0.875,8,0.625
6,mBART-50,llama 1b,16,16,0.375,8,0.375,8,0.375
6,nllb-200-1.3B,1.5b,16,16,0.875,8,1.0,8,0.75
6,nllb-200-1.3B,1.7b,16,16,0.9375,8,1.0,8,0.875
6,nllb-200-1.3B,llama 1b,16,16,0.625,8,0.75,8,0.5
7,google_word_by_word,1.5b,18,18,0.2222222222222222,9,0.3333333333333333,9,0.1111111111111111
7,google_word_by_word,1.7b,18,18,0.6111111111111112,9,1.0,9,0.2222222222222222
7,google_word_by_word,llama 1b,18,18,0.16666666666666666,9,0.2222222222222222,9,0.1111111111111111
7,llm_prompt_high,1.5b,18,18,0.6666666666666666,9,0.4444444444444444,9,0.8888888888888888
7,llm_prompt_high,1.7b,18,18,0.8333333333333334,9,1.0,9,0.6666666666666666
7,llm_prompt_high,llama 1b,18,18,0.3888888888888889,9,0.6666666666666666,9,0.1111111111111111
7,llm_prompt_low,1.5b,18,18,0.6666666666666666,9,0.3333333333333333,9,1.0
7,llm_prompt_low,1.7b,18,18,0.6666666666666666,9,0.8888888888888888,9,0.4444444444444444
7,llm_prompt_low,llama 1b,18,18,0.16666666666666666,9,0.0,9,0.3333333333333333
7,mBART-50,1.5b,18,18,0.4444444444444444,9,0.3333333333333333,9,0.5555555555555556
7,mBART-50,1.7b,18,18,0.7777777777777778,9,0.8888888888888888,9,0.6666666666666666
7,mBART-50,llama 1b,18,18,0.16666666666666666,9,0.2222222222222222,9,0.1111111111111111
7,nllb-200-1.3B,1.5b,18,18,0.4444444444444444,9,0.2222222222222222,9,0.6666666666666666
7,nllb-200-1.3B,1.7b,18,18,0.6666666666666666,9,0.8888888888888888,9,0.4444444444444444
7,nllb-200-1.3B,llama 1b,18,18,0.3888888888888889,9,0.4444444444444444,9,0.3333333333333333
8,google_word_by_word,1.5b,18,18,0.5555555555555556,9,0.4444444444444444,9,0.6666666666666666
8,google_word_by_word,1.7b,18,18,0.6111111111111112,9,0.8888888888888888,9,0.3333333333333333
8,google_word_by_word,llama 1b,9,9,0.1111111111111111,0,,9,0.1111111111111111
8,llm_prompt_high,1.5b,18,18,0.5,9,0.4444444444444444,9,0.5555555555555556
8,llm_prompt_high,1.7b,18,18,0.7777777777777778,9,1.0,9,0.5555555555555556
8,llm_prompt_high,llama 1b,18,18,0.5555555555555556,9,0.7777777777777778,9,0.3333333333333333
8,llm_prompt_low,1.5b,18,18,0.6111111111111112,9,0.5555555555555556,9,0.6666666666666666
8,llm_prompt_low,1.7b,18,18,0.6666666666666666,9,0.7777777777777778,9,0.5555555555555556
8,llm_prompt_low,llama 1b,9,9,0.4444444444444444,0,,9,0.4444444444444444
8,mBART-50,1.5b,18,18,0.5555555555555556,9,0.6666666666666666,9,0.4444444444444444
8,mBART-50,1.7b,18,18,0.6111111111111112,9,0.6666666666666666,9,0.5555555555555556
