model,item_count,scored_count,combined_mean,mcq_count,mcq_accuracy,open_count,open_llm_mean
1.5b,1020,1020,0.7156862745098039,510,0.7862745098039216,510,0.6450980392156863
1.7b,1020,1020,0.7764705882352941,510,0.8764705882352941,510,0.6764705882352942
llama 1b,993,993,0.418932527693857,483,0.4492753623188406,510,0.39019607843137255
