chapter,model,method,status,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_score_mean,open_embedding_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate
5,1.7b,nllb-200-distilled-600M,ok,26,13,13,1.0,13,0.6153846153846154,,,,
6,llama 1b,google_word_by_word,ok,16,8,2,0.25,8,0.375,,,,
6,llama 1b,helsinki,ok,16,8,3,0.375,8,0.25,,,,
6,llama 1b,llm_prompt_high,ok,16,8,6,0.75,8,0.1875,,,,
6,llama 1b,llm_prompt_low,ok,16,8,3,0.375,8,0.6875,,,,
6,llama 1b,llm_prompt_medium,ok,16,8,3,0.375,8,0.4375,,,,
6,llama 1b,mBART-50,ok,16,8,3,0.375,8,0.3125,,,,
6,llama 1b,nllb-200-1.3B,ok,16,8,6,0.75,8,0.375,,,,
6,llama 1b,nllb-200-distilled-600M,ok,16,8,4,0.5,8,0.5625,,,,
6,1.5b,google_word_by_word,ok,16,8,8,1.0,8,0.5,,,,
6,1.5b,helsinki,ok,16,8,8,1.0,8,0.9375,,,,
6,1.5b,llm_prompt_high,ok,16,8,8,1.0,8,0.75,,,,
6,1.5b,llm_prompt_low,ok,16,8,7,0.875,8,0.5625,,,,
6,1.5b,llm_prompt_medium,ok,16,8,8,1.0,8,0.6875,,,,
6,1.5b,mBART-50,ok,16,8,7,0.875,8,0.625,,,,
6,1.5b,nllb-200-1.3B,ok,16,8,8,1.0,8,0.875,,,,
6,1.5b,nllb-200-distilled-600M,ok,16,8,8,1.0,8,0.6875,,,,
6,1.7b,google_word_by_word,ok,16,8,8,1.0,8,0.4375,,,,
6,1.7b,helsinki,ok,16,8,8,1.0,8,0.9375,,,,
6,1.7b,llm_prompt_high,ok,16,8,8,1.0,8,0.9375,,,,
6,1.7b,llm_prompt_low,ok,16,8,8,1.0,8,0.875,,,,
6,1.7b,llm_prompt_medium,ok,16,8,8,1.0,8,0.875,,,,
6,1.7b,mBART-50,ok,16,8,7,0.875,8,0.625,,,,
6,1.7b,nllb-200-1.3B,ok,16,8,8,1.0,8,1.0,,,,
6,1.7b,nllb-200-distilled-600M,ok,16,8,8,1.0,8,0.8125,,,,
7,llama 1b,google_word_by_word,ok,18,9,2,0.2222222222222222,9,0.0,,,,
