chapter,method,model,item_count,scored_count,combined_mean,mcq_count,mcq_accuracy,open_count,open_llm_mean
1,google_word_by_word,1.5b,44,44,0.6363636363636364,22,0.9090909090909091,22,0.36363636363636365
1,google_word_by_word,1.7b,44,44,0.7840909090909091,22,0.9090909090909091,22,0.6590909090909091
1,google_word_by_word,llama 1b,44,44,0.38636363636363635,22,0.36363636363636365,22,0.4090909090909091
1,helsinki,1.5b,44,44,0.8863636363636364,22,1.0,22,0.7727272727272727
1,helsinki,1.7b,44,44,0.7727272727272727,22,0.9090909090909091,22,0.6363636363636364
1,helsinki,llama 1b,44,44,0.375,22,0.3181818181818182,22,0.4318181818181818
1,llm_prompt_high,1.5b,44,44,0.8181818181818182,22,0.9090909090909091,22,0.7272727272727273
1,llm_prompt_high,1.7b,44,44,0.8863636363636364,22,0.9545454545454546,22,0.8181818181818182
1,llm_prompt_high,llama 1b,44,44,0.5795454545454546,22,0.6818181818181818,22,0.4772727272727273
1,llm_prompt_low,1.5b,44,44,0.9204545454545454,22,1.0,22,0.8409090909090909
1,llm_prompt_low,1.7b,44,44,0.8636363636363636,22,0.9090909090909091,22,0.8181818181818182
1,llm_prompt_low,llama 1b,44,44,0.38636363636363635,22,0.36363636363636365,22,0.4090909090909091
1,llm_prompt_medium,1.5b,44,44,0.7727272727272727,22,0.9090909090909091,22,0.6363636363636364
1,llm_prompt_medium,1.7b,44,44,0.8295454545454546,22,0.8636363636363636,22,0.7954545454545454
1,llm_prompt_medium,llama 1b,44,44,0.42045454545454547,22,0.36363636363636365,22,0.4772727272727273
1,mBART-50,1.5b,44,44,0.6818181818181818,22,0.7727272727272727,22,0.5909090909090909
1,mBART-50,1.7b,44,44,0.7727272727272727,22,0.8636363636363636,22,0.6818181818181818
1,mBART-50,llama 1b,44,44,0.4431818181818182,22,0.36363636363636365,22,0.5227272727272727
1,nllb-200-1.3B,1.5b,44,44,0.7159090909090909,22,0.8181818181818182,22,0.6136363636363636
1,nllb-200-1.3B,1.7b,44,44,0.8409090909090909,22,0.9545454545454546,22,0.7272727272727273
1,nllb-200-1.3B,llama 1b,44,44,0.5568181818181818,22,0.7272727272727273,22,0.38636363636363635
1,nllb-200-distilled-600M,1.5b,44,44,0.7954545454545454,22,0.8181818181818182,22,0.7727272727272727
1,nllb-200-distilled-600M,1.7b,44,44,0.7954545454545454,22,0.9090909090909091,22,0.6818181818181818
1,nllb-200-distilled-600M,llama 1b,44,44,0.3977272727272727,22,0.2727272727272727,22,0.5227272727272727
2,google_word_by_word,1.5b,24,24,0.5,12,0.75,12,0.25
2,google_word_by_word,1.7b,24,24,0.6458333333333334,12,0.8333333333333334,12,0.4583333333333333
2,google_word_by_word,llama 1b,24,24,0.3333333333333333,12,0.4166666666666667,12,0.25
2,helsinki,1.5b,24,24,0.7291666666666666,12,0.8333333333333334,12,0.625
2,helsinki,1.7b,24,24,0.6666666666666666,12,0.8333333333333334,12,0.5
2,helsinki,llama 1b,24,24,0.16666666666666666,12,0.08333333333333333,12,0.25
2,llm_prompt_high,1.5b,24,24,0.625,12,0.8333333333333334,12,0.4166666666666667
2,llm_prompt_high,1.7b,24,24,0.75,12,0.9166666666666666,12,0.5833333333333334
2,llm_prompt_high,llama 1b,24,24,0.5416666666666666,12,0.8333333333333334,12,0.25
2,llm_prompt_low,1.5b,24,24,0.7291666666666666,12,0.8333333333333334,12,0.625
2,llm_prompt_low,1.7b,24,24,0.6875,12,0.75,12,0.625
2,llm_prompt_low,llama 1b,24,24,0.3541666666666667,12,0.3333333333333333,12,0.375
2,llm_prompt_medium,1.5b,24,24,0.7291666666666666,12,0.8333333333333334,12,0.625
2,llm_prompt_medium,1.7b,24,24,0.6875,12,0.8333333333333334,12,0.5416666666666666
2,llm_prompt_medium,llama 1b,24,24,0.3333333333333333,12,0.3333333333333333,12,0.3333333333333333
2,mBART-50,1.5b,24,24,0.6458333333333334,12,0.5833333333333334,12,0.7083333333333334
2,mBART-50,1.7b,24,24,0.6666666666666666,12,0.9166666666666666,12,0.4166666666666667
2,mBART-50,llama 1b,24,24,0.3333333333333333,12,0.3333333333333333,12,0.3333333333333333
2,nllb-200-1.3B,1.5b,24,24,0.6666666666666666,12,0.75,12,0.5833333333333334
2,nllb-200-1.3B,1.7b,24,24,0.7708333333333334,12,0.9166666666666666,12,0.625
2,nllb-200-1.3B,llama 1b,24,24,0.4375,12,0.5833333333333334,12,0.2916666666666667
2,nllb-200-distilled-600M,1.5b,24,24,0.7083333333333334,12,0.6666666666666666,12,0.75
2,nllb-200-distilled-600M,1.7b,24,24,0.75,12,1.0,12,0.5
2,nllb-200-distilled-600M,llama 1b,24,24,0.375,12,0.4166666666666667,12,0.3333333333333333
3,google_word_by_word,1.5b,14,14,0.7142857142857143,7,1.0,7,0.42857142857142855
3,google_word_by_word,1.7b,14,14,0.7857142857142857,7,1.0,7,0.5714285714285714
3,google_word_by_word,llama 1b,14,14,0.25,7,0.2857142857142857,7,0.21428571428571427
3,helsinki,1.5b,14,14,0.75,7,0.8571428571428571,7,0.6428571428571429
3,helsinki,1.7b,14,14,0.7142857142857143,7,0.8571428571428571,7,0.5714285714285714
3,helsinki,llama 1b,14,14,0.21428571428571427,7,0.2857142857142857,7,0.14285714285714285
3,llm_prompt_high,1.5b,14,14,0.8928571428571429,7,1.0,7,0.7857142857142857
3,llm_prompt_high,1.7b,14,14,1.0,7,1.0,7,1.0
