model,item_count,scored_count,combined_mean,mcq_count,mcq_accuracy,open_count,open_llm_mean
1.5b,1632,1632,0.7086397058823529,816,0.7904411764705882,816,0.6268382352941176
1.7b,1632,1632,0.7524509803921569,816,0.8762254901960784,816,0.6286764705882353
llama 1b,1578,1578,0.373574144486692,786,0.3842239185750636,792,0.3630050505050505
