item_key,id,q_type,chapter,n_obs,n_events_minority,q_spread,y_var,mode,s_i,se_s_i,c_i,b_anchor,converged
luke1:item18:mcq,uw-174328-mcq,mcq,1,24,3,0.4542,0.10938,anchor,3.3238,0.76761,0.63906,-0.63906,1
luke4:item7:open,uw-174380-open,open,4,23,9,1.872,0.23819,free,2.49107,0.66307,-0.66278,-1.18813,1
luke1:item32:mcq,uw-174336-mcq,mcq,1,24,9,0.4542,0.23438,anchor,2.0587,0.77683,0.63906,-0.63906,1
luke2:item22:mcq,uw-174361-mcq,mcq,2,23,3,0.9852,0.11342,anchor,2.0479,0.73375,0.63906,-0.63906,1
luke1:item34:mcq,uw-174339-mcq,mcq,1,24,12,0.4542,0.25,anchor,1.92643,0.78939,0.86603,-0.86603,1
luke1:item31:open,uw-174336-open,open,1,24,6,0.4542,0.1875,anchor,1.91266,0.77082,0.74858,-0.74858,1
luke1:item37:open,uw-174341-open,open,1,24,5,0.4542,0.16493,anchor,1.6007,0.77071,0.53151,-0.53151,1
luke1:item28:mcq,uw-174333-mcq,mcq,1,24,9,0.4542,0.23438,anchor,1.55957,0.81305,1.09587,-1.09587,1
luke1:item19:open,uw-174329-open,open,1,24,12,0.4542,0.25,anchor,1.3477,0.77599,0.96735,-0.96735,1
luke1:item21:open,uw-174330-open,open,1,24,10,0.4542,0.24306,anchor,1.3058,0.78303,1.18813,-1.18813,1
luke1:item26:mcq,uw-174332-mcq,mcq,1,24,8,0.4542,0.22222,anchor,1.20468,0.80861,0.86603,-0.86603,1
luke2:item3:open,uw-174347-open,open,2,23,5,0.9852,0.17013,anchor,1.19372,0.72501,0.74858,-0.74858,1
luke5:item4:mcq,uw-174401-mcq,mcq,5,24,8,2.6318,0.22222,free,1.17122,0.60812,-0.14126,-1.09587,1
luke8:item3:open,uw-174446,open,8,24,11,2.8119,0.24826,free,1.1287,0.60525,0.17936,-0.31578,1
luke4:item16:mcq,uw-174387-mcq,mcq,4,23,8,1.872,0.22684,free,1.1202,0.61639,-0.16243,-1.09587,1
luke8:item7:open,uw-174452,open,8,24,9,2.8119,0.23438,free,1.09091,0.5278,-0.63466,-0.31578,1
luke1:item1:open,uw-174316-open,open,1,24,10,0.4542,0.24306,anchor,1.02155,0.77177,0.101,-0.101,1
luke6:item3:open,uw-174415-open,open,6,24,9,0.6583,0.23438,anchor,1.02132,0.73775,0.96735,-0.96735,1
luke6:item4:mcq,uw-174415-mcq,mcq,6,24,8,0.6583,0.22222,anchor,0.95356,0.77638,0.86603,-0.86603,1
luke3:item12:mcq,uw-174374-mcq,mcq,3,24,4,5.8262,0.13889,anchor,0.92559,0.75903,1.09587,-1.09587,1
luke5:item3:open,uw-174401-open,open,5,24,5,2.6318,0.16493,anchor,0.91363,0.54858,0.96735,-0.96735,1
luke1:item38:mcq,uw-174341-mcq,mcq,1,24,7,0.4542,0.2066,anchor,0.89323,0.81826,0.86603,-0.86603,1
luke6:item5:open,uw-174421-open,open,6,24,6,0.6583,0.1875,anchor,0.88405,0.7343,-0.11329,0.11329,1
luke2:item1:open,uw-174346-open,open,2,23,8,0.9852,0.22684,free,0.85708,0.79848,0.86804,-0.96735,1
luke4:item25:open,uw-174394-open,open,4,23,9,1.872,0.23819,free,0.82916,0.54779,-0.53625,-1.18813,1
luke4:item26:mcq,uw-174394-mcq,mcq,4,23,5,1.872,0.17013,anchor,0.82635,0.71348,1.09587,-1.09587,1
luke5:item20:mcq,uw-174409-mcq,mcq,5,24,6,2.6318,0.1875,free,0.8182,0.56845,0.23611,-1.09587,1
luke3:item8:mcq,uw-174368-mcq,mcq,3,24,5,5.8262,0.16493,anchor,0.79119,0.74295,1.09587,-1.09587,1
luke1:item17:open,uw-174328-open,open,1,24,10,0.4542,0.24306,anchor,0.79095,0.79223,1.18813,-1.18813,1
luke5:item19:open,uw-174409-open,open,5,24,11,2.6318,0.24826,free,0.78764,0.44026,0.04984,-1.18813,1
luke4:item18:mcq,uw-174388-mcq,mcq,4,23,10,1.872,0.24575,free,0.76013,0.55608,-0.59731,-0.19354,1
luke1:item23:open,uw-174331-open,open,1,24,8,0.4542,0.22222,anchor,0.74011,0.79327,1.18813,-1.18813,1
luke4:item13:open,uw-174384-open,open,4,23,9,1.872,0.23819,free,0.68357,0.5431,-0.52455,-0.96735,1
luke1:item6:mcq,uw-174318-mcq,mcq,1,24,7,0.4542,0.2066,anchor,0.67358,0.82542,0.86603,-0.86603,1
luke4:item4:mcq,uw-174378-mcq,mcq,4,23,2,1.872,0.0794,anchor,0.6619,0.70614,1.09587,-1.09587,1
luke8:item16:mcq,uw-174454-mcq,mcq,8,18,3,2.8119,0.13889,anchor,0.64045,0.59818,-0.02539,0.02539,1
luke4:item40:mcq,uw-174399-mcq,mcq,4,23,9,1.872,0.23819,free,0.62649,0.5583,-0.40757,-0.19354,1
luke1:item20:mcq,uw-174329-mcq,mcq,1,24,7,0.4542,0.2066,anchor,0.62381,0.82708,0.86603,-0.86603,1
luke2:item24:mcq,uw-174362-mcq,mcq,2,23,11,0.9852,0.24953,free,0.61343,0.76988,-0.81113,0.02539,1
luke7:item10:mcq,uw-174434-mcq,mcq,7,23,6,3.6842,0.19282,free,0.61098,0.54671,0.15107,-1.09587,1
luke4:item1:open,uw-174377-open,open,4,23,8,1.872,0.22684,free,0.58949,0.57347,0.6626,-1.18813,1
luke6:item11:open,uw-174424-open,open,6,24,12,0.6583,0.25,anchor,0.58106,0.72837,0.101,-0.101,1
luke4:item44:mcq,uw-174398-mcq,mcq,4,23,9,1.872,0.23819,free,0.56985,0.53387,-1.34887,0.24218,1
luke5:item1:open,uw-174400-open,open,5,24,12,2.6318,0.25,free,0.56059,0.40357,-0.12741,-1.18813,1
luke6:item6:mcq,uw-174421-mcq,mcq,6,24,7,0.6583,0.2066,anchor,0.53093,0.74601,0.19354,-0.19354,1
luke1:item4:mcq,uw-174317-mcq,mcq,1,24,5,0.4542,0.16493,anchor,0.52797,0.84749,1.09587,-1.09587,1
luke1:item3:open,uw-174317-open,open,1,24,8,0.4542,0.22222,anchor,0.51009,0.78826,0.96735,-0.96735,1
luke1:item22:mcq,uw-174330-mcq,mcq,1,24,5,0.4542,0.16493,anchor,0.50528,0.84829,1.09587,-1.09587,1
luke4:item23:open,uw-174393-open,open,4,23,10,1.872,0.24575,free,0.49091,0.54818,0.25911,-0.96735,1
luke7:item9:open,uw-174434-open,open,7,23,6,3.6842,0.19282,free,0.46456,0.35752,-1.27546,-0.74858,1
luke8:item12:mcq,uw-174449-mcq,mcq,8,18,1,2.8119,0.05247,anchor,0.45361,0.58348,0.19354,-0.19354,1
luke8:item4:mcq,uw-174445-mcq,mcq,8,18,7,2.8119,0.23765,free,0.45222,0.49142,-0.68974,0.02539,1
luke4:item31:open,uw-174396-open,open,4,23,9,1.872,0.23819,free,0.44441,0.53773,-0.50644,-0.96735,1
luke7:item4:mcq,uw-174430-mcq,mcq,7,23,8,3.6842,0.22684,free,0.44426,0.35329,-1.65832,0.02539,1
luke7:item1:open,uw-174429-open,open,7,23,10,3.6842,0.24575,free,0.44401,0.39696,0.14868,-0.96735,1
luke2:item10:mcq,uw-174351-mcq,mcq,2,23,4,0.9852,0.14367,anchor,0.44231,0.81045,1.09587,-1.09587,1
luke8:item8:mcq,uw-174447-mcq,mcq,8,18,8,2.8119,0.24691,free,0.43958,0.45682,-1.37769,0.02539,1
luke8:item11:open,uw-174449-open,open,8,18,7,2.8119,0.23765,free,0.42868,0.48267,0.05788,-0.101,1
luke4:item3:open,uw-174378-open,open,4,23,2,1.872,0.0794,anchor,0.42279,0.60293,1.18813,-1.18813,1
luke5:item13:open,uw-174406-open,open,5,24,3,2.6318,0.10938,anchor,0.41559,0.48016,1.18813,-1.18813,1
luke8:item6:open,uw-174449,open,8,6,0,1.0888,0.0,pooled1,0.40884,0.89975,0.13768,,1
luke1:item30:mcq,uw-174335-mcq,mcq,1,24,3,0.4542,0.10938,anchor,0.40128,0.85193,1.09587,-1.09587,1
luke2:item21:open,uw-174361-open,open,2,23,6,0.9852,0.19282,free,0.39546,0.79653,-1.00613,-0.74858,1
luke2:item4:mcq,uw-174347-mcq,mcq,2,23,4,0.9852,0.14367,anchor,0.39018,0.81241,1.09587,-1.09587,1
luke5:item22:mcq,uw-174410-mcq,mcq,5,24,8,2.6318,0.22222,free,0.38228,0.38059,-1.69057,0.02539,1
luke5:item11:open,uw-174404-open,open,5,24,12,2.6318,0.25,free,0.37993,0.39053,-0.10273,-0.101,1
luke1:item29:open,uw-174335-open,open,1,24,7,0.4542,0.2066,anchor,0.3748,0.79086,0.96735,-0.96735,1
luke7:item11:open,uw-174436-open,open,7,23,8,3.6842,0.22684,free,0.37349,0.35231,-0.81703,-0.96735,1
luke8:item2:open,uw-174445,open,8,6,2,1.0888,0.22222,pooled1,0.37197,0.89928,0.13768,,1
luke1:item36:mcq,uw-174340-mcq,mcq,1,24,3,0.4542,0.10938,anchor,0.37125,0.85298,1.09587,-1.09587,1
luke8:item2:mcq,uw-174444-mcq,mcq,8,18,1,2.8119,0.05247,anchor,0.36344,0.68981,1.09587,-1.09587,1
luke4:item29:open,uw-174396-open,open,4,23,6,1.872,0.19282,free,0.35751,0.59186,1.09518,-0.96735,1
luke2:item5:open,uw-174349-open,open,2,23,7,0.9852,0.21172,free,0.33612,0.80047,0.9515,-1.18813,1
luke8:item5:open,uw-174448,open,8,24,11,2.8119,0.24826,free,0.32511,0.46228,0.13062,-0.101,1
luke4:item28:mcq,uw-174395-mcq,mcq,4,23,8,1.872,0.22684,free,0.31248,0.55255,-0.21801,-0.86603,1
luke4:item22:mcq,uw-174392-mcq,mcq,4,23,6,1.872,0.19282,free,0.30566,0.58472,0.20227,0.02539,1
luke7:item8:mcq,uw-174432-mcq,mcq,7,23,11,3.6842,0.24953,free,0.30404,0.35341,-1.06034,-0.86603,1
luke7:item18:mcq,uw-174442-mcq,mcq,7,23,7,3.6842,0.21172,free,0.29881,0.34468,-1.82592,-0.86603,1
luke4:item42:mcq,uw-174396-mcq,mcq,4,23,1,1.872,0.04159,anchor,0.29436,0.58297,0.19354,-0.19354,1
luke4:item12:mcq,uw-174382-mcq,mcq,4,23,8,1.872,0.22684,free,0.29027,0.53483,-1.51851,-0.86603,1
luke2:item15:open,uw-174355-open,open,2,23,11,0.9852,0.24953,free,0.27632,0.77526,0.14595,-0.74858,1
luke2:item12:mcq,uw-174352-mcq,mcq,2,23,6,0.9852,0.19282,free,0.274,0.80749,0.26654,-0.86603,1
luke3:item4:mcq,uw-174366-mcq,mcq,3,24,1,5.8262,0.03993,anchor,0.26951,0.48109,1.09587,-1.09587,1
luke8:item10:mcq,uw-174448-mcq,mcq,8,18,0,2.8119,0.0,anchor,0.26802,0.54229,0.19354,-0.19354,1
luke6:item14:mcq,uw-174427-mcq,mcq,6,24,5,0.6583,0.16493,anchor,0.25952,0.75398,0.19354,-0.19354,1
luke1:item8:mcq,uw-174322-mcq,mcq,1,24,4,0.4542,0.13889,anchor,0.25928,0.85691,1.09587,-1.09587,1
luke2:item17:open,uw-174357-open,open,2,23,7,0.9852,0.21172,free,0.25593,0.78754,-0.81995,0.11329,1
luke7:item16:mcq,uw-174441-mcq,mcq,7,23,3,3.6842,0.11342,anchor,0.24671,0.43015,0.19354,-0.19354,1
luke3:item14:mcq,uw-174375-mcq,mcq,3,24,1,5.8262,0.03993,anchor,0.24527,0.4633,1.09587,-1.09587,1
luke3:item13:open,uw-174375-open,open,3,24,1,5.8262,0.03993,anchor,0.24419,0.34433,1.18813,-1.18813,1
luke8:item6:mcq,uw-174446-mcq,mcq,8,18,4,2.8119,0.17284,anchor,0.23417,0.49268,-0.24218,0.24218,1
luke6:item12:mcq,uw-174424-mcq,mcq,6,24,6,0.6583,0.1875,anchor,0.21261,0.75547,0.19354,-0.19354,1
luke6:item8:mcq,uw-174422-mcq,mcq,6,24,4,0.6583,0.13889,anchor,0.20261,0.82734,1.09587,-1.09587,1
luke7:item2:mcq,uw-174429-mcq,mcq,7,23,11,3.6842,0.24953,free,0.19763,0.34357,-1.04379,-0.86603,1
luke5:item17:open,uw-174408-open,open,5,24,4,2.6318,0.13889,anchor,0.19236,0.38131,0.101,-0.101,1
luke7:item17:open,uw-174442-open,open,7,23,11,3.6842,0.24953,free,0.18455,0.34803,-0.20339,-0.96735,1
luke7:item12:mcq,uw-174436-mcq,mcq,7,23,11,3.6842,0.24953,free,0.18351,0.34262,-1.04142,-0.86603,1
luke5:item16:mcq,uw-174407-mcq,mcq,5,24,5,2.6318,0.16493,anchor,0.16929,0.42997,0.19354,-0.19354,1
luke3:item3:open,uw-174366-open,open,3,24,12,5.8262,0.25,free,0.16383,0.23758,-0.0928,-0.96735,1
luke1:item2:mcq,uw-174316-mcq,mcq,1,24,6,0.4542,0.1875,anchor,0.15815,0.79661,0.19354,-0.19354,1
luke2:item20:mcq,uw-174359-mcq,mcq,2,23,7,0.9852,0.21172,free,0.15811,0.7936,0.02424,-1.09587,1
luke2:item2:mcq,uw-174346-mcq,mcq,2,23,7,0.9852,0.21172,free,0.15811,0.7936,0.02424,-1.09587,1
luke3:item9:open,uw-174370-open,open,3,24,11,5.8262,0.24826,free,0.14753,0.24057,0.09394,-0.96735,1
luke3:item10:mcq,uw-174370-mcq,mcq,3,24,11,5.8262,0.24826,free,0.14709,0.23725,-0.76951,-0.86603,1
luke4:item35:open,uw-174398-open,open,4,23,11,1.872,0.24953,free,0.14175,0.53376,0.07779,-0.96735,1
luke4:item39:open,uw-174399-open,open,4,23,9,1.872,0.23819,free,0.1401,0.5442,0.46051,-0.101,1
luke5:item18:mcq,uw-174408-mcq,mcq,5,24,5,2.6318,0.16493,anchor,0.13191,0.42445,0.19354,-0.19354,1
luke1:item44:mcq,uw-174344-mcq,mcq,1,24,2,0.4542,0.07639,anchor,0.12974,0.86145,1.09587,-1.09587,1
luke2:item8:mcq,uw-174350-mcq,mcq,2,23,3,0.9852,0.11342,anchor,0.12409,0.82241,1.09587,-1.09587,1
luke1:item42:mcq,uw-174343-mcq,mcq,1,24,7,0.4542,0.2066,anchor,0.11998,0.7857,-0.02539,0.02539,1
luke7:item13:open,uw-174440-open,open,7,23,6,3.6842,0.19282,free,0.11539,0.39383,1.00776,-0.96735,1
luke5:item7:open,uw-174403-open,open,5,24,9,2.6318,0.23438,free,0.11293,0.39458,0.49405,-1.18813,1
luke4:item19:open,uw-174389-open,open,4,23,8,1.872,0.22684,free,0.11234,0.55231,0.66138,-0.101,1
luke2:item14:mcq,uw-174354-mcq,mcq,2,23,7,0.9852,0.21172,free,0.10829,0.79302,0.01284,-1.09587,1
luke2:item9:open,uw-174351-open,open,2,23,6,0.9852,0.19282,free,0.10744,0.80895,1.12153,-0.96735,1
luke1:item41:open,uw-174343-open,open,1,24,11,0.4542,0.24826,anchor,0.10659,0.76977,-0.11329,0.11329,1
