family,n_items,mean_obs_per_item,mean_se_pooled,mean_se_1.7b_only,sd_s_i,rms_se,tau2,tau2_lo95,tau2_hi95,tau,signal
omission,166,17.7,0.68,1.573,0.9896,0.7388,0.4336,0.0777,0.9397,0.6584,REVIVED
mistranslation,167,17.4,0.769,1.539,1.3863,0.9289,1.0589,0.4745,1.643,1.029,REVIVED
grammar,153,17.7,0.633,1.387,0.5508,0.6593,-0.1314,-0.205,-0.0575,0.0,tau=0 (confirmed)
awkward,156,17.6,0.683,1.47,0.7549,0.7328,0.0329,-0.0887,0.1492,0.1814,tau=0 (confirmed)
addition:adversarial,146,17.5,0.75,1.823,1.2217,0.8633,0.7472,0.3106,1.2714,0.8644,REVIVED
