family,doses,n_items,mean_obs_per_item,sd_s_i,rms_se,tau2,tau2_lo95,tau2_hi95,signal
omission,0|15|30,117,9.0,1.2909,1.1654,0.3082,-0.0286,0.6483,tau=0
mistranslation,0|15|30,118,9.0,1.2829,1.1972,0.2126,-0.1138,0.5001,tau=0
