scheme,w_1b,w_1.5b,w_1.7b,corr_true_dose,rmse_dose,within_dose_var,eff_data_mult_vs_equal,pct_fewer_respondents
equal,0.333,0.333,0.333,0.387,0.0793,4.012,1.0,0.0
prior_lambda2,0.134,0.35,0.516,0.425,0.0779,3.5608,1.13,11.2
shrunk0.5,0.233,0.342,0.425,0.416,0.0782,3.5688,1.12,11.0
empirical_opt,0.191,0.346,0.463,0.422,0.078,3.5128,1.14,12.4
