pair,rho,boot_lo95,boot_hi95,boot_median,n_boot
llama 1b vs 1.5b,0.619,0.166,0.905,0.619,1000
llama 1b vs 1.7b,0.667,0.19,0.929,0.643,1000
1.5b vs 1.7b,0.976,0.476,0.976,0.786,1000
