method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score
llm_prompt_low,evaluation/outputs/luke4/1.5b/llm_prompt_low/scores_target_llama.json,44,22,18,0.8181818181818182,22,22,0.8181818181818182,22,0.5111477729515673,18,0,4,0,0.8181818181818182
nllb-200-distilled-600M,evaluation/outputs/luke4/1.5b/nllb-200-distilled-600M/scores_target_llama.json,44,22,18,0.8181818181818182,22,22,0.7727272727272727,22,0.5118119270918497,17,0,5,0,0.7954545454545454
helsinki,evaluation/outputs/luke4/1.5b/helsinki/scores_target_llama.json,44,22,20,0.9090909090909091,22,22,0.5909090909090909,22,0.4519494394772324,13,0,9,0,0.75
llm_prompt_medium,evaluation/outputs/luke4/1.5b/llm_prompt_medium/scores_target_llama.json,44,22,17,0.7727272727272727,22,22,0.6818181818181818,22,0.47950495789728226,15,0,7,0,0.7272727272727273
llm_prompt_high,evaluation/outputs/luke4/1.5b/llm_prompt_high/scores_target_llama.json,44,22,16,0.7272727272727273,22,22,0.6818181818181818,22,0.4166096027649773,15,0,7,0,0.7045454545454546
google_word_by_word,evaluation/outputs/luke4/1.5b/google_word_by_word/scores_target_llama.json,44,22,19,0.8636363636363636,22,22,0.5454545454545454,22,0.41112772688139415,12,0,10,0,0.7045454545454546
mBART-50,evaluation/outputs/luke4/1.5b/mBART-50/scores_target_llama.json,44,22,15,0.6818181818181818,22,22,0.5,22,0.41691249118114015,11,0,11,0,0.5909090909090909
nllb-200-1.3B,evaluation/outputs/luke4/1.5b/nllb-200-1.3B/scores_target_llama.json,44,22,14,0.6363636363636364,22,22,0.45454545454545453,22,0.38423176546067955,10,0,12,0,0.5454545454545454
