method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score
llm_prompt_low,evaluation/outputs/luke5/1.5b/llm_prompt_low/scores_target_llama.json,26,13,11,0.8461538461538461,13,13,0.8461538461538461,13,0.5163674487426926,11,0,2,0,0.8461538461538461
nllb-200-distilled-600M,evaluation/outputs/luke5/1.5b/nllb-200-distilled-600M/scores_target_llama.json,26,13,11,0.8461538461538461,13,13,0.7692307692307693,13,0.5413292927650609,10,0,3,0,0.8076923076923077
nllb-200-1.3B,evaluation/outputs/luke5/1.5b/nllb-200-1.3B/scores_target_llama.json,26,13,11,0.8461538461538461,13,13,0.7692307692307693,13,0.5190031035098177,10,0,3,0,0.8076923076923077
llm_prompt_high,evaluation/outputs/luke5/1.5b/llm_prompt_high/scores_target_llama.json,26,13,11,0.8461538461538461,13,13,0.7692307692307693,13,0.5422065257851001,10,0,3,0,0.8076923076923077
helsinki,evaluation/outputs/luke5/1.5b/helsinki/scores_target_llama.json,26,13,10,0.7692307692307693,13,13,0.7692307692307693,13,0.5308130416033443,10,0,3,0,0.7692307692307693
mBART-50,evaluation/outputs/luke5/1.5b/mBART-50/scores_target_llama.json,26,13,9,0.6923076923076923,13,13,0.6923076923076923,13,0.4814386368853373,9,0,4,0,0.6923076923076923
llm_prompt_medium,evaluation/outputs/luke5/1.5b/llm_prompt_medium/scores_target_llama.json,26,13,8,0.6153846153846154,13,13,0.6923076923076923,13,0.49714380708180234,9,0,4,0,0.6538461538461539
google_word_by_word,evaluation/outputs/luke5/1.5b/google_word_by_word/scores_target_llama.json,26,13,9,0.6923076923076923,13,13,0.5384615384615384,13,0.3692226306486935,7,0,6,0,0.6153846153846154
