method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score
0%,evaluation/outputs/luke1/omission/0%/scores_target_llama.json,44,22,21,0.9545454545454546,22,22,0.9090909090909091,22,0.5447243113262936,20,0,2,0,0.9318181818181818
20%,evaluation/outputs/luke1/omission/20%/scores_target_llama.json,44,22,19,0.8636363636363636,22,22,0.8181818181818182,22,0.5233393825893548,18,0,4,0,0.8409090909090909
15%,evaluation/outputs/luke1/omission/15%/scores_target_llama.json,44,22,19,0.8636363636363636,22,22,0.8181818181818182,22,0.5327501078971065,18,0,4,0,0.8409090909090909
5%,evaluation/outputs/luke1/omission/5%/scores_target_llama.json,44,22,19,0.8636363636363636,22,22,0.7727272727272727,22,0.5106626399479872,17,0,5,0,0.8181818181818182
30%,evaluation/outputs/luke1/omission/30%/scores_target_llama.json,44,22,19,0.8636363636363636,22,22,0.6818181818181818,22,0.509687956428365,15,0,7,0,0.7727272727272727
10%,evaluation/outputs/luke1/omission/10%/scores_target_llama.json,44,22,18,0.8181818181818182,22,22,0.7272727272727273,22,0.5134023353837803,16,0,6,0,0.7727272727272727
