pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
full,204,-1.0,adaptive,500,0.5,group,2026,84,0.4774354668363384,9
full,204,-1.0,adaptive,500,0.5,group,2026,85,0.48082556715623476,6
full,204,-1.0,adaptive,500,0.5,group,2026,86,0.47868380886429823,6
full,204,-1.0,adaptive,500,0.5,group,2026,87,0.4824280266561569,4
full,204,-1.0,adaptive,500,0.5,group,2026,88,0.4805994414289028,4
full,204,-1.0,adaptive,500,0.5,group,2026,89,0.4800017772695847,4
full,204,-1.0,adaptive,500,0.5,group,2026,90,0.47886017360794936,4
full,204,-1.0,adaptive,500,0.5,group,2026,91,0.4775380487213809,4
full,204,-1.0,adaptive,500,0.5,group,2026,92,0.4788711725358185,3
full,204,-1.0,adaptive,500,0.5,group,2026,93,0.48304584459991584,2
full,204,-1.0,adaptive,500,0.5,group,2026,94,0.48330412422042746,2
full,204,-1.0,adaptive,500,0.5,group,2026,95,0.48356451799418354,2
full,204,-1.0,adaptive,500,0.5,group,2026,96,0.4820504297835543,2
full,204,-1.0,adaptive,500,0.5,group,2026,97,0.48228575049517675,2
full,204,-1.0,adaptive,500,0.5,group,2026,98,0.482489968699116,2
full,204,-1.0,adaptive,500,0.5,group,2026,99,0.48269584883688627,2
full,204,-1.0,adaptive,500,0.5,group,2026,100,0.48190990996392025,2
full,204,-1.0,adaptive,500,0.5,group,2026,101,0.481320989773312,2
full,204,-1.0,adaptive,500,0.5,group,2026,102,0.481509445967926,2
full,204,-1.0,random,500,0.5,group,2026,1,0.9882447837026549,500
full,204,-1.0,random,500,0.5,group,2026,2,0.9750595619199878,500
full,204,-1.0,random,500,0.5,group,2026,3,0.9633051359079614,500
full,204,-1.0,random,500,0.5,group,2026,4,0.9514691448844032,500
full,204,-1.0,random,500,0.5,group,2026,5,0.940032325211928,500
full,204,-1.0,random,500,0.5,group,2026,6,0.9298361464559746,500
full,204,-1.0,random,500,0.5,group,2026,7,0.9206564773358415,500
full,204,-1.0,random,500,0.5,group,2026,8,0.9111520667902299,500
full,204,-1.0,random,500,0.5,group,2026,9,0.9014850594088034,500
full,204,-1.0,random,500,0.5,group,2026,10,0.8927355404457308,500
full,204,-1.0,random,500,0.5,group,2026,11,0.8833925609522559,500
full,204,-1.0,random,500,0.5,group,2026,12,0.8746491386064238,500
full,204,-1.0,random,500,0.5,group,2026,13,0.8663936974884187,500
full,204,-1.0,random,500,0.5,group,2026,14,0.8586958859136424,500
full,204,-1.0,random,500,0.5,group,2026,15,0.8505097083329243,500
full,204,-1.0,random,500,0.5,group,2026,16,0.8432848432169665,500
