pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
filtered,102,-1.0,adaptive,500,0.5,group,2026,70,0.46219274560888257,2
filtered,102,-1.0,adaptive,500,0.5,group,2026,71,0.46534435370084437,1
filtered,102,-1.0,adaptive,500,0.5,group,2026,72,0.45980293064523126,1
filtered,102,-1.0,adaptive,500,0.5,group,2026,73,0.4597517516655019,1
filtered,102,-1.0,adaptive,500,0.5,group,2026,74,0.45970030999064665,1
filtered,102,-1.0,adaptive,500,0.5,group,2026,75,0.4596484633428163,1
filtered,102,-1.0,adaptive,500,0.5,group,2026,76,0.4595960792987583,1
filtered,102,-1.0,random,500,0.5,group,2026,1,0.9668626719975612,500
filtered,102,-1.0,random,500,0.5,group,2026,2,0.9366639828861958,500
filtered,102,-1.0,random,500,0.5,group,2026,3,0.9110968215905715,500
filtered,102,-1.0,random,500,0.5,group,2026,4,0.8860867717746665,500
filtered,102,-1.0,random,500,0.5,group,2026,5,0.863281835782214,500
filtered,102,-1.0,random,500,0.5,group,2026,6,0.8425400660581223,500
filtered,102,-1.0,random,500,0.5,group,2026,7,0.8238594403851615,500
filtered,102,-1.0,random,500,0.5,group,2026,8,0.8058399217710884,500
filtered,102,-1.0,random,500,0.5,group,2026,9,0.7891564313201297,500
filtered,102,-1.0,random,500,0.5,group,2026,10,0.7734638949444396,500
filtered,102,-1.0,random,500,0.5,group,2026,11,0.7577274536081035,500
filtered,102,-1.0,random,500,0.5,group,2026,12,0.7445900143487633,500
filtered,102,-1.0,random,500,0.5,group,2026,13,0.7311424229333107,500
filtered,102,-1.0,random,500,0.5,group,2026,14,0.7188064770204039,500
filtered,102,-1.0,random,500,0.5,group,2026,15,0.7070433518193127,500
filtered,102,-1.0,random,500,0.5,group,2026,16,0.6954044233725912,500
filtered,102,-1.0,random,500,0.5,group,2026,17,0.6841602445074274,500
filtered,102,-1.0,random,500,0.5,group,2026,18,0.6736957358553496,500
filtered,102,-1.0,random,500,0.5,group,2026,19,0.6637177089169,500
filtered,102,-1.0,random,500,0.5,group,2026,20,0.6534750763706763,500
filtered,102,-1.0,random,500,0.5,group,2026,21,0.6440447520855549,500
filtered,102,-1.0,random,500,0.5,group,2026,22,0.6353817836724656,500
filtered,102,-1.0,random,500,0.5,group,2026,23,0.627138371977617,500
filtered,102,-1.0,random,500,0.5,group,2026,24,0.6189272877437658,500
filtered,102,-1.0,random,500,0.5,group,2026,25,0.6112325785825806,500
filtered,102,-1.0,random,500,0.5,group,2026,26,0.6036299002979407,500
filtered,102,-1.0,random,500,0.5,group,2026,27,0.5960092119306915,500
filtered,102,-1.0,random,500,0.5,group,2026,28,0.5893418195455465,500
filtered,102,-1.0,random,500,0.5,group,2026,29,0.582826130905517,500
filtered,102,-1.0,random,500,0.5,group,2026,30,0.5762831443080567,500
filtered,102,-1.0,random,500,0.5,group,2026,31,0.5697184309365017,500
filtered,102,-1.0,random,500,0.5,group,2026,32,0.5639207903960491,500
filtered,102,-1.0,random,500,0.5,group,2026,33,0.5583247012507263,500
filtered,102,-1.0,random,500,0.5,group,2026,34,0.5526893345845127,500
filtered,102,-1.0,random,500,0.5,group,2026,35,0.5469986980981895,500
filtered,102,-1.0,random,500,0.5,group,2026,36,0.5416607304770327,500
filtered,102,-1.0,random,500,0.5,group,2026,37,0.5366067547920539,500
filtered,102,-1.0,random,500,0.5,group,2026,38,0.5314917197855875,500
filtered,102,-1.0,random,500,0.5,group,2026,39,0.5264855014900911,500
filtered,102,-1.0,random,500,0.5,group,2026,40,0.521957471492926,500
filtered,102,-1.0,random,500,0.5,group,2026,41,0.5173477316880833,500
filtered,102,-1.0,random,500,0.5,group,2026,42,0.5130954905832045,500
filtered,102,-1.0,random,500,0.5,group,2026,43,0.508784974124823,500
filtered,102,-1.0,random,500,0.5,group,2026,44,0.5044606153739002,499
filtered,102,-1.0,random,500,0.5,group,2026,45,0.4998385887124586,499
filtered,102,-1.0,random,500,0.5,group,2026,46,0.4960966930930463,496
filtered,102,-1.0,random,500,0.5,group,2026,47,0.4922363225105985,492
filtered,102,-1.0,random,500,0.5,group,2026,48,0.48861605422483106,486
filtered,102,-1.0,random,500,0.5,group,2026,49,0.48522072280806444,479
filtered,102,-1.0,random,500,0.5,group,2026,50,0.4826811834006163,460
filtered,102,-1.0,random,500,0.5,group,2026,51,0.4800674254988919,444
filtered,102,-1.0,random,500,0.5,group,2026,52,0.478072067704428,412
filtered,102,-1.0,random,500,0.5,group,2026,53,0.4760056123605843,386
filtered,102,-1.0,random,500,0.5,group,2026,54,0.47433166604785204,350
filtered,102,-1.0,random,500,0.5,group,2026,55,0.47377341423586555,299
filtered,102,-1.0,random,500,0.5,group,2026,56,0.47294349378467354,255
filtered,102,-1.0,random,500,0.5,group,2026,57,0.472567140475865,213
filtered,102,-1.0,random,500,0.5,group,2026,58,0.4720773364655641,175
filtered,102,-1.0,random,500,0.5,group,2026,59,0.47177172329049544,149
filtered,102,-1.0,random,500,0.5,group,2026,60,0.4702109653130794,132
filtered,102,-1.0,random,500,0.5,group,2026,61,0.4692909584007099,114
filtered,102,-1.0,random,500,0.5,group,2026,62,0.4674103667454926,99
filtered,102,-1.0,random,500,0.5,group,2026,63,0.46747740614373706,77
filtered,102,-1.0,random,500,0.5,group,2026,64,0.4678231658695889,58
filtered,102,-1.0,random,500,0.5,group,2026,65,0.46853264318456517,43
filtered,102,-1.0,random,500,0.5,group,2026,66,0.46718792427836775,39
filtered,102,-1.0,random,500,0.5,group,2026,67,0.46578972130363067,34
filtered,102,-1.0,random,500,0.5,group,2026,68,0.4663586011431762,24
filtered,102,-1.0,random,500,0.5,group,2026,69,0.4666277777523063,19
filtered,102,-1.0,random,500,0.5,group,2026,70,0.46630821685109947,16
filtered,102,-1.0,random,500,0.5,group,2026,71,0.46850081274115213,10
filtered,102,-1.0,random,500,0.5,group,2026,72,0.46965784238344127,7
filtered,102,-1.0,random,500,0.5,group,2026,73,0.47136885703684805,5
filtered,102,-1.0,random,500,0.5,group,2026,74,0.47522117513872375,4
filtered,102,-1.0,random,500,0.5,group,2026,75,0.4729840097299425,4
filtered,102,-1.0,random,500,0.5,group,2026,76,0.46883384270697714,4
filtered,102,-1.0,random,500,0.5,group,2026,77,0.470058348063616,3
filtered,102,-1.0,random,500,0.5,group,2026,78,0.4662377304408514,3
filtered,102,-1.0,random,500,0.5,group,2026,79,0.47157783876848397,2
filtered,102,-1.0,random,500,0.5,group,2026,80,0.4736865646186612,1
filtered,102,-1.0,random,500,0.5,group,2026,81,0.46854515896240745,1
filtered,102,-1.0,random,500,0.5,group,2026,82,0.4682131497781586,1
filtered,102,-1.0,random,500,0.5,group,2026,83,0.46622085025083404,1
filtered,102,-1.0,random,500,0.5,group,2026,84,0.4646876167622492,1
filtered,102,-1.0,random,500,0.5,group,2026,85,0.4645692323515247,1
filtered,102,-1.0,random,500,0.5,group,2026,86,0.45510161990496073,1
