pool,pool_size,theta,arm,draws,tau,fit_slope,seed,item_idx,count
filtered,102,-1.0,random,500,0.5,group,2026,0,273
filtered,102,-1.0,random,500,0.5,group,2026,1,283
filtered,102,-1.0,random,500,0.5,group,2026,2,284
filtered,102,-1.0,random,500,0.5,group,2026,3,289
filtered,102,-1.0,random,500,0.5,group,2026,4,272
filtered,102,-1.0,random,500,0.5,group,2026,5,271
filtered,102,-1.0,random,500,0.5,group,2026,6,264
filtered,102,-1.0,random,500,0.5,group,2026,7,283
filtered,102,-1.0,random,500,0.5,group,2026,8,275
filtered,102,-1.0,random,500,0.5,group,2026,9,274
filtered,102,-1.0,random,500,0.5,group,2026,10,276
filtered,102,-1.0,random,500,0.5,group,2026,11,287
filtered,102,-1.0,random,500,0.5,group,2026,12,262
filtered,102,-1.0,random,500,0.5,group,2026,13,275
filtered,102,-1.0,random,500,0.5,group,2026,14,276
filtered,102,-1.0,random,500,0.5,group,2026,15,287
filtered,102,-1.0,random,500,0.5,group,2026,16,289
filtered,102,-1.0,random,500,0.5,group,2026,17,298
filtered,102,-1.0,random,500,0.5,group,2026,18,274
filtered,102,-1.0,random,500,0.5,group,2026,19,266
filtered,102,-1.0,random,500,0.5,group,2026,20,275
filtered,102,-1.0,random,500,0.5,group,2026,21,297
filtered,102,-1.0,random,500,0.5,group,2026,22,271
filtered,102,-1.0,random,500,0.5,group,2026,23,282
filtered,102,-1.0,random,500,0.5,group,2026,24,279
filtered,102,-1.0,random,500,0.5,group,2026,25,279
filtered,102,-1.0,random,500,0.5,group,2026,26,261
filtered,102,-1.0,random,500,0.5,group,2026,27,290
filtered,102,-1.0,random,500,0.5,group,2026,28,280
filtered,102,-1.0,random,500,0.5,group,2026,29,279
filtered,102,-1.0,random,500,0.5,group,2026,30,270
filtered,102,-1.0,random,500,0.5,group,2026,31,284
filtered,102,-1.0,random,500,0.5,group,2026,32,288
filtered,102,-1.0,random,500,0.5,group,2026,33,259
filtered,102,-1.0,random,500,0.5,group,2026,34,274
filtered,102,-1.0,random,500,0.5,group,2026,35,280
filtered,102,-1.0,random,500,0.5,group,2026,36,284
filtered,102,-1.0,random,500,0.5,group,2026,37,284
filtered,102,-1.0,random,500,0.5,group,2026,38,279
filtered,102,-1.0,random,500,0.5,group,2026,39,279
filtered,102,-1.0,random,500,0.5,group,2026,40,273
filtered,102,-1.0,random,500,0.5,group,2026,41,283
filtered,102,-1.0,random,500,0.5,group,2026,42,272
filtered,102,-1.0,random,500,0.5,group,2026,43,277
filtered,102,-1.0,random,500,0.5,group,2026,44,275
filtered,102,-1.0,random,500,0.5,group,2026,45,267
filtered,102,-1.0,random,500,0.5,group,2026,46,275
filtered,102,-1.0,random,500,0.5,group,2026,47,297
filtered,102,-1.0,random,500,0.5,group,2026,48,276
filtered,102,-1.0,random,500,0.5,group,2026,49,275
filtered,102,-1.0,random,500,0.5,group,2026,50,256
filtered,102,-1.0,random,500,0.5,group,2026,51,262
filtered,102,-1.0,random,500,0.5,group,2026,52,272
filtered,102,-1.0,random,500,0.5,group,2026,53,273
filtered,102,-1.0,random,500,0.5,group,2026,54,284
filtered,102,-1.0,random,500,0.5,group,2026,55,261
filtered,102,-1.0,random,500,0.5,group,2026,56,279
filtered,102,-1.0,random,500,0.5,group,2026,57,283
filtered,102,-1.0,random,500,0.5,group,2026,58,282
filtered,102,-1.0,random,500,0.5,group,2026,59,272
filtered,102,-1.0,random,500,0.5,group,2026,60,282
filtered,102,-1.0,random,500,0.5,group,2026,61,298
filtered,102,-1.0,random,500,0.5,group,2026,62,275
filtered,102,-1.0,random,500,0.5,group,2026,63,266
filtered,102,-1.0,random,500,0.5,group,2026,64,272
filtered,102,-1.0,random,500,0.5,group,2026,65,283
filtered,102,-1.0,random,500,0.5,group,2026,66,284
filtered,102,-1.0,random,500,0.5,group,2026,67,259
filtered,102,-1.0,random,500,0.5,group,2026,68,285
filtered,102,-1.0,random,500,0.5,group,2026,69,279
filtered,102,-1.0,random,500,0.5,group,2026,70,282
filtered,102,-1.0,random,500,0.5,group,2026,71,302
filtered,102,-1.0,random,500,0.5,group,2026,72,272
filtered,102,-1.0,random,500,0.5,group,2026,73,279
filtered,102,-1.0,random,500,0.5,group,2026,74,271
filtered,102,-1.0,random,500,0.5,group,2026,75,282
filtered,102,-1.0,random,500,0.5,group,2026,76,283
filtered,102,-1.0,random,500,0.5,group,2026,77,278
filtered,102,-1.0,random,500,0.5,group,2026,78,268
filtered,102,-1.0,random,500,0.5,group,2026,79,269
filtered,102,-1.0,random,500,0.5,group,2026,80,276
filtered,102,-1.0,random,500,0.5,group,2026,81,266
filtered,102,-1.0,random,500,0.5,group,2026,82,275
filtered,102,-1.0,random,500,0.5,group,2026,83,268
filtered,102,-1.0,random,500,0.5,group,2026,84,254
filtered,102,-1.0,random,500,0.5,group,2026,85,285
filtered,102,-1.0,random,500,0.5,group,2026,86,290
filtered,102,-1.0,random,500,0.5,group,2026,87,284
filtered,102,-1.0,random,500,0.5,group,2026,88,296
filtered,102,-1.0,random,500,0.5,group,2026,89,284
filtered,102,-1.0,random,500,0.5,group,2026,90,289
filtered,102,-1.0,random,500,0.5,group,2026,91,264
filtered,102,-1.0,random,500,0.5,group,2026,92,260
filtered,102,-1.0,random,500,0.5,group,2026,93,300
filtered,102,-1.0,random,500,0.5,group,2026,94,281
filtered,102,-1.0,random,500,0.5,group,2026,95,272
filtered,102,-1.0,random,500,0.5,group,2026,96,294
filtered,102,-1.0,random,500,0.5,group,2026,97,263
filtered,102,-1.0,random,500,0.5,group,2026,98,268
filtered,102,-1.0,random,500,0.5,group,2026,99,274
filtered,102,-1.0,random,500,0.5,group,2026,100,282
filtered,102,-1.0,random,500,0.5,group,2026,101,278
