pool,pool_size,theta,arm,draws,tau,fit_slope,seed,median_items,iqr_lo,iqr_hi,mean_items,censor_rate,mean_abs_err,coverage_at_stop,max_exposure_share
filtered,102,-1.0,adaptive,500,0.5,group,2026,34.0,33.0,36.0,35.622,0.0,0.42421789891715467,0.924,0.015327606535287181
filtered,102,-1.0,random,500,0.5,group,2026,56.0,53.0,60.0,56.596,0.0,0.42003366912034934,0.926,0.010672132306170047
