pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
full,204,-1.0,adaptive,500,0.5,group,2026,73,0.47454068396029586,69
full,204,-1.0,adaptive,500,0.5,group,2026,74,0.47445034802536157,62
full,204,-1.0,adaptive,500,0.5,group,2026,75,0.47452200654791266,55
full,204,-1.0,adaptive,500,0.5,group,2026,76,0.4752644233287784,48
full,204,-1.0,adaptive,500,0.5,group,2026,77,0.47547245320315396,44
full,204,-1.0,adaptive,500,0.5,group,2026,78,0.47567942349214176,39
full,204,-1.0,adaptive,500,0.5,group,2026,79,0.47554849466413585,37
full,204,-1.0,adaptive,500,0.5,group,2026,80,0.4746052201292509,37
full,204,-1.0,adaptive,500,0.5,group,2026,81,0.4744434942896909,35
full,204,-1.0,adaptive,500,0.5,group,2026,82,0.4746095237505305,33
full,204,-1.0,adaptive,500,0.5,group,2026,83,0.4743122431428704,31
full,204,-1.0,adaptive,500,0.5,group,2026,84,0.47379952798855984,30
full,204,-1.0,adaptive,500,0.5,group,2026,85,0.4736070196342741,29
full,204,-1.0,adaptive,500,0.5,group,2026,86,0.47307880610029895,29
full,204,-1.0,adaptive,500,0.5,group,2026,87,0.47295616352655695,27
full,204,-1.0,adaptive,500,0.5,group,2026,88,0.4727086737665527,26
full,204,-1.0,adaptive,500,0.5,group,2026,89,0.47291425984504437,24
full,204,-1.0,adaptive,500,0.5,group,2026,90,0.47306903384675736,22
full,204,-1.0,adaptive,500,0.5,group,2026,91,0.47266166621941197,22
full,204,-1.0,adaptive,500,0.5,group,2026,92,0.47200908119884555,22
full,204,-1.0,adaptive,500,0.5,group,2026,93,0.4719045846082799,21
full,204,-1.0,adaptive,500,0.5,group,2026,94,0.47188355567722395,20
full,204,-1.0,adaptive,500,0.5,group,2026,95,0.47190599178871595,19
full,204,-1.0,adaptive,500,0.5,group,2026,96,0.47126395429311,19
full,204,-1.0,adaptive,500,0.5,group,2026,97,0.4714638699470548,18
