method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score
helsinki,evaluation/outputs/luke2/1.5b/helsinki/scores_target_llama.json,24,12,9,0.75,12,12,0.75,12,0.46668134556408636,9,0,3,0,0.75
llm_prompt_medium,evaluation/outputs/luke2/1.5b/llm_prompt_medium/scores_target_llama.json,24,12,10,0.8333333333333334,12,12,0.5833333333333334,12,0.3981277295643874,7,0,5,0,0.7083333333333334
llm_prompt_low,evaluation/outputs/luke2/1.5b/llm_prompt_low/scores_target_llama.json,24,12,9,0.75,12,12,0.6666666666666666,12,0.41208957924505607,8,0,4,0,0.7083333333333334
nllb-200-distilled-600M,evaluation/outputs/luke2/1.5b/nllb-200-distilled-600M/scores_target_llama.json,24,12,8,0.6666666666666666,12,12,0.6666666666666666,12,0.48244911919767186,8,0,4,0,0.6666666666666666
llm_prompt_high,evaluation/outputs/luke2/1.5b/llm_prompt_high/scores_target_llama.json,24,12,9,0.75,12,12,0.5833333333333334,12,0.4130704671390746,7,0,5,0,0.6666666666666666
nllb-200-1.3B,evaluation/outputs/luke2/1.5b/nllb-200-1.3B/scores_target_llama.json,24,12,9,0.75,12,12,0.5,12,0.543117230454746,6,0,6,0,0.625
mBART-50,evaluation/outputs/luke2/1.5b/mBART-50/scores_target_llama.json,24,12,7,0.5833333333333334,12,12,0.6666666666666666,12,0.4790708058281912,8,0,4,0,0.625
google_word_by_word,evaluation/outputs/luke2/1.5b/google_word_by_word/scores_target_llama.json,24,12,9,0.75,12,12,0.25,12,0.33697613953599775,3,0,9,0,0.5
