model_a,model_b,method_count,spearman_rho,order_a,order_b
llama1b,qwen1.5b,8,0.5628843430992316,nllb-200-1.3B > llm_prompt_high > llm_prompt_medium > llm_prompt_low > helsinki > nllb-200-distilled-600M > mBART-50 > google_word_by_word,llm_prompt_low > llm_prompt_high > helsinki > llm_prompt_medium > nllb-200-1.3B=nllb-200-distilled-600M > google_word_by_word > mBART-50
llama1b,qwen1.7b,8,0.9523809523809523,nllb-200-1.3B > llm_prompt_high > llm_prompt_medium > llm_prompt_low > helsinki > nllb-200-distilled-600M > mBART-50 > google_word_by_word,llm_prompt_high > nllb-200-1.3B > llm_prompt_medium > llm_prompt_low > nllb-200-distilled-600M > helsinki > mBART-50 > google_word_by_word
qwen1.5b,qwen1.7b,8,0.5868368683374968,llm_prompt_low > llm_prompt_high > helsinki > llm_prompt_medium > nllb-200-1.3B=nllb-200-distilled-600M > google_word_by_word > mBART-50,llm_prompt_high > nllb-200-1.3B > llm_prompt_medium > llm_prompt_low > nllb-200-distilled-600M > helsinki > mBART-50 > google_word_by_word
