method,row_count,mean_score,open_mean,mcq_mean,open_count,mcq_count
google_word_by_word,603,0.5472636815920398,0.4477124183006536,0.6498316498316499,306,297
helsinki,559,0.5992844364937389,0.5563380281690141,0.6436363636363637,284,275
llm_prompt_high,612,0.7336601307189542,0.6470588235294118,0.8202614379084967,306,306
llm_prompt_low,603,0.6417910447761194,0.6143790849673203,0.67003367003367,306,297
llm_prompt_medium,585,0.652991452991453,0.5993265993265994,0.7083333333333334,297,288
mBART-50,603,0.582089552238806,0.5326797385620915,0.632996632996633,306,297
nllb-200-1.3B,612,0.6879084967320261,0.6111111111111112,0.7647058823529411,306,306
nllb-200-distilled-600M,579,0.6252158894645942,0.5884353741496599,0.6631578947368421,294,285
