method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score,answer_confidence_mean,insufficient_information_rate,direct_evidence_rate,evidence_supported_rate,wrong_high_confidence_count,correct_low_confidence_count
5%,evaluation/outputs/luke1/mistranslation/5%/scores_target_llama.json,44,22,7,0.3181818181818182,22,22,0.5,22,0.48650785448882644,11,0,11,0,0.4090909090909091,,,,,0,0
30%,evaluation/outputs/luke1/mistranslation/30%/scores_target_llama.json,44,22,7,0.3181818181818182,22,22,0.4090909090909091,22,0.4457306717991948,9,0,13,0,0.36363636363636365,,,,,0,0
20%,evaluation/outputs/luke1/mistranslation/20%/scores_target_llama.json,44,22,9,0.4090909090909091,22,22,0.36363636363636365,22,0.45571715655616835,8,0,14,0,0.38636363636363635,,,,,0,0
15%,evaluation/outputs/luke1/mistranslation/15%/scores_target_llama.json,44,22,10,0.45454545454545453,22,22,0.5,22,0.4414443867714075,11,0,11,0,0.4772727272727273,,,,,0,0
10%,evaluation/outputs/luke1/mistranslation/10%/scores_target_llama.json,44,22,8,0.36363636363636365,22,22,0.5,22,0.45683149947233476,11,0,11,0,0.4318181818181818,,,,,0,0
0%,evaluation/outputs/luke1/mistranslation/0%/scores_target_llama.json,44,22,8,0.36363636363636365,22,22,0.5909090909090909,22,0.5115860752871161,13,0,9,0,0.4772727272727273,,,,,0,0
