rank,method,consensus,llama1b,qwen1.5b,qwen1.7b,n_items
1,llm_prompt_high,0.7344,0.5729,0.7812,0.849,192
2,nllb-200-1.3B,0.684,0.5781,0.6615,0.8125,192
3,llm_prompt_medium,0.6709,0.4103,0.7885,0.8141,156
4,llm_prompt_low,0.659,0.3218,0.8448,0.8103,174
5,nllb-200-distilled-600M,0.6378,0.36,0.74,0.8133,150
6,helsinki,0.6329,0.3116,0.7826,0.8043,138
7,mBART-50,0.5958,0.3506,0.6552,0.7816,174
8,google_word_by_word,0.5498,0.2931,0.6494,0.7069,174
