method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score
nllb-200-distilled-600M,evaluation/outputs/llama 3b/nllb-200-distilled-600M/scores_target_llama.json,26,4,4,1.0,22,22,0.9090909090909091,22,0.550858348796538,20,0,2,0,0.9230769230769231
nllb-200-1.3B,evaluation/outputs/llama 3b/nllb-200-1.3B/scores_target_llama.json,26,4,4,1.0,22,22,0.9090909090909091,22,0.6215976670488849,20,0,2,0,0.9230769230769231
llm_prompt_low,evaluation/outputs/llama 3b/llm_prompt_low/scores_target_llama.json,26,4,4,1.0,22,22,0.9090909090909091,22,0.6090490215467207,20,0,2,0,0.9230769230769231
google_word_by_word,evaluation/outputs/llama 3b/google_word_by_word/scores_target_llama.json,26,4,4,1.0,22,22,0.9090909090909091,22,0.5831184483358258,20,0,2,0,0.9230769230769231
llm_prompt_medium,evaluation/outputs/llama 3b/llm_prompt_medium/scores_target_llama.json,26,4,3,0.75,22,22,0.8636363636363636,22,0.5973799127987559,19,0,3,0,0.8461538461538461
llm_prompt_high,evaluation/outputs/llama 3b/llm_prompt_high/scores_target_llama.json,26,4,4,1.0,22,22,0.8181818181818182,22,0.5813062561369085,18,0,4,0,0.8461538461538461
helsinki,evaluation/outputs/llama 3b/helsinki/scores_target_llama.json,26,4,4,1.0,22,22,0.8181818181818182,22,0.6483128636998057,18,0,4,0,0.8461538461538461
mBART-50,evaluation/outputs/llama 3b/mBART-50/scores_target_llama.json,26,4,4,1.0,22,22,0.5909090909090909,22,0.5065900461239743,13,0,9,0,0.6538461538461539
