method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score
nllb-200-1.3B,evaluation/outputs/luke6/1.5b/nllb-200-1.3B/scores_target_llama.json,16,8,8,1.0,8,8,0.875,8,0.5401600376755875,7,0,1,0,0.9375
helsinki,evaluation/outputs/luke6/1.5b/helsinki/scores_target_llama.json,16,8,8,1.0,8,8,0.875,8,0.5004436006505356,7,0,1,0,0.9375
llm_prompt_medium,evaluation/outputs/luke6/1.5b/llm_prompt_medium/scores_target_llama.json,16,8,8,1.0,8,8,0.75,8,0.4252152968509648,6,0,2,0,0.875
mBART-50,evaluation/outputs/luke6/1.5b/mBART-50/scores_target_llama.json,16,8,7,0.875,8,8,0.75,8,0.4839765359059985,6,0,2,0,0.8125
llm_prompt_high,evaluation/outputs/luke6/1.5b/llm_prompt_high/scores_target_llama.json,16,8,8,1.0,8,8,0.625,8,0.4653337666309383,5,0,3,0,0.8125
nllb-200-distilled-600M,evaluation/outputs/luke6/1.5b/nllb-200-distilled-600M/scores_target_llama.json,16,8,8,1.0,8,8,0.5,8,0.45301387435523577,4,0,4,0,0.75
google_word_by_word,evaluation/outputs/luke6/1.5b/google_word_by_word/scores_target_llama.json,16,8,8,1.0,8,8,0.5,8,0.4639575853411941,4,0,4,0,0.75
llm_prompt_low,evaluation/outputs/luke6/1.5b/llm_prompt_low/scores_target_llama.json,16,8,7,0.875,8,8,0.5,8,0.40907889555593047,4,0,4,0,0.6875
