model,defect,max_dose,acc0_old,acc0_new,accMax_old,accMax_new,slope_old,slope_new
llama 1b,addition,30,0.8181818181818182,0.8068181818181818,0.8409090909090909,0.803030303030303,0.022727272727272707,-0.0037878787878787845
1.7b,omission,30,0.8755584693084694,0.8325624028749028,0.718860132922633,0.6924269307081807,-0.1566983363858364,-0.14013547216672206
1.7b,mistranslation,30,0.8478665431790432,0.8143393065268065,0.7100616397491397,0.6477571907259407,-0.13780490342990348,-0.1665821158008658
1.7b,addition,30,0.8428099678099679,0.8002509643134643,0.7664898758648758,0.7423516876641877,-0.07632009194509204,-0.05789927664927663
1.7b,grammar,30,0.8067522755022755,0.789467476967477,0.7942491536241536,0.7717222014097014,-0.012503121878121859,-0.01774527555777561
1.7b,inconsistency,20,0.7848401598401599,0.7627025752025752,0.8090208402708403,0.7594610250860251,0.024180680430680446,-0.0032415501165501404
1.7b,local_inconsistency,20,,,0.825,0.84375,,
