model,rank_order,mean_google_word_by_word,mean_helsinki,mean_llm_prompt_high,mean_llm_prompt_low,mean_llm_prompt_medium,mean_mBART-50,mean_nllb-200-1.3B,mean_nllb-200-distilled-600M
llama1b,nllb-200-1.3B > llm_prompt_high > llm_prompt_medium > llm_prompt_low > helsinki > nllb-200-distilled-600M > mBART-50 > google_word_by_word,0.30275229357798167,0.3577981651376147,0.5688073394495413,0.3669724770642202,0.3944954128440367,0.3119266055045872,0.5779816513761468,0.3486238532110092
qwen1.5b,llm_prompt_low > llm_prompt_high > helsinki > llm_prompt_medium > nllb-200-1.3B=nllb-200-distilled-600M > google_word_by_word > mBART-50,0.7155963302752294,0.8073394495412844,0.8623853211009175,0.8899082568807339,0.7798165137614679,0.6605504587155964,0.7614678899082569,0.7614678899082569
qwen1.7b,llm_prompt_high > nllb-200-1.3B > llm_prompt_medium > llm_prompt_low > nllb-200-distilled-600M > helsinki > mBART-50 > google_word_by_word,0.7522935779816514,0.7981651376146789,0.8990825688073395,0.8256880733944955,0.8532110091743119,0.7706422018348624,0.8899082568807339,0.8165137614678899
